# Data from Open Admin Data (https://openadmindata.org/mm/) — CC-BY-4.0. Please cite: https://github.com/open-admin-data/myanmar-administrative-divisions
id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.district,children_count.township,children_count.ward,zip_codes,geo.lat,geo.lon,source_url
MMR001012701,3,မြို့နယ်,Township,မိုးမောက်,Momauk,momauk-MMR001012701,MMR001012701,,MMR001D003,ဗန်းမော်ခရိုင်,Bhamo,,,,56,,24.25095,97.34653,
MMR001012702,3,မြို့နယ်,Township,လွယ်ဂျယ်,Lwegel,lwegel-MMR001012702,MMR001012702,,MMR001D003,ဗန်းမော်ခရိုင်,Bhamo,,,,7,,24.19932,97.72077,
MMR001012703,3,မြို့နယ်,Township,ဒေါ့ဖုန်းယန်,Dawthponeyan,dawthponeyan-MMR001012703,MMR001012703,,MMR001D003,ဗန်းမော်ခရိုင်,Bhamo,,,,3,,24.61398,97.46127,
MMR001013701,3,မြို့နယ်,Township,မံစီ,Mansi,mansi-MMR001013701,MMR001013701,,MMR001D003,ဗန်းမော်ခရိုင်,Bhamo,,,,44,,24.11962,97.29311,
MMR001014701,3,မြို့နယ်,Township,ပူတာအို,Puta-O,puta-o-MMR001014701,MMR001014701,,MMR001D004,ပူတာအိုခရိုင်,Puta-O,,,,25,,27.29934,97.4159,
MMR001015701,3,မြို့နယ်,Township,ဆွမ်ပရာဘွမ်,Sumprabum,sumprabum-MMR001015701,MMR001015701,,MMR001D004,ပူတာအိုခရိုင်,Puta-O,,,,44,,26.54373,97.5677,
MMR001016701,3,မြို့နယ်,Township,မချမ်းဘော,Machanbaw,machanbaw-MMR001016701,MMR001016701,,MMR001D004,ပူတာအိုခရိုင်,Puta-O,,,,31,,27.28395,97.58937,
MMR001017701,3,မြို့နယ်,Township,နောင်မွန်း,Nawngmun,nawngmun-MMR001017701,MMR001017701,,MMR001D004,ပူတာအိုခရိုင်,Puta-O,,,,18,,27.50532,97.81785,
MMR001017702,3,မြို့နယ်,Township,ပန်နန်းဒင်,Pannandin,pannandin-MMR001017702,MMR001017702,,MMR001D004,ပူတာအိုခရိုင်,Puta-O,,,,1,,27.7281,97.87662,
MMR001018701,3,မြို့နယ်,Township,ခေါင်လန်ဖူး,Khaunglanhpu,khaunglanhpu-MMR001018701,MMR001018701,,MMR001D004,ပူတာအိုခရိုင်,Puta-O,,,,28,,27.06043,98.36034,
MMR001D001,2,ခရိုင်,District,မြစ်ကြီးနားခရိုင်,Myitkyina,myitkyina-MMR001D001,MMR001D001,,MMR001,ကချင်ပြည်နယ်,Kachin,,,11,284,,25.7127,97.5747,
MMR001D002,2,ခရိုင်,District,မိုးညှင်းခရိုင်,Mohnyin,mohnyin-MMR001D002,MMR001D002,,MMR001,ကချင်ပြည်နယ်,Kachin,,,9,137,,25.173,96.5496,
MMR001D003,2,ခရိုင်,District,ဗန်းမော်ခရိုင်,Bhamo,bhamo-MMR001D003,MMR001D003,,MMR001,ကချင်ပြည်နယ်,Kachin,,,7,212,,24.3035,97.2168,
MMR001D004,2,ခရိုင်,District,ပူတာအိုခရိုင်,Puta-O,puta-o-MMR001D004,MMR001D004,,MMR001,ကချင်ပြည်နယ်,Kachin,,,6,147,,27.2368,97.7713,
MMR002,1,တိုင်းဒေသကြီး/ပြည်နယ်,State/Region,ကယားပြည်နယ်,Kayah,kayah-MMR002,MMR002,,,,,,2,10,124,,19.3688,97.3179,https://openadmindata.org/mm/regions/kayah-MMR002/
MMR002001701,3,မြို့နယ်,Township,လွိုင်ကော်,Loikaw,loikaw-MMR002001701,MMR002001701,,MMR002D001,လွိုင်ကော်ခရိုင်,Loikaw,,,,32,,19.67424,97.20993,
MMR002001702,3,မြို့နယ်,Township,လွိုင်လင်လေး,Loilen Lay,loilen-lay-MMR002001702,MMR002001702,,MMR002D001,လွိုင်ကော်ခရိုင်,Loikaw,,,,3,,19.8777,97.2318,
MMR002002701,3,မြို့နယ်,Township,ဒီးမော့ဆို,Demoso,demoso-MMR002002701,MMR002002701,,MMR002D001,လွိုင်ကော်ခရိုင်,Loikaw,,,,27,,19.53832,97.15881,
MMR002002702,3,မြို့နယ်,Township,နန်းမယ်ခုံ,Nan Mei Khon,nan-mei-khon-MMR002002702,MMR002002702,,MMR002D001,လွိုင်ကော်ခရိုင်,Loikaw,,,,4,,19.6696,97.1091,
MMR002003701,3,မြို့နယ်,Township,ဖရူဆို,Hpruso,hpruso-MMR002003701,MMR002003701,,MMR002D001,လွိုင်ကော်ခရိုင်,Loikaw,,,,19,,19.41387,97.12799,
MMR002004701,3,မြို့နယ်,Township,ရှားတော,Shadaw,shadaw-MMR002004701,MMR002004701,,MMR002D001,လွိုင်ကော်ခရိုင်,Loikaw,,,,8,,19.63174,97.52073,
MMR002005701,3,မြို့နယ်,Township,ဘောလခဲ,Bawlake,bawlake-MMR002005701,MMR002005701,,MMR002D002,ဘောလခဲခရိုင်,Bawlake,,,,11,,19.17256,97.34284,
MMR002005702,3,မြို့နယ်,Township,ရွာသစ်,Ywarthit,ywarthit-MMR002005702,MMR002005702,,MMR002D002,ဘောလခဲခရိုင်,Bawlake,,,,2,,19.16673,97.4995,
MMR002006701,3,မြို့နယ်,Township,ဖားဆောင်း,Hpasawng,hpasawng-MMR002006701,MMR002006701,,MMR002D002,ဘောလခဲခရိုင်,Bawlake,,,,10,,18.87063,97.31592,
MMR002007701,3,မြို့နယ်,Township,မယ်စဲ,Mese,mese-MMR002007701,MMR002007701,,MMR002D002,ဘောလခဲခရိုင်,Bawlake,,,,8,,18.67246,97.66277,
MMR002D001,2,ခရိုင်,District,လွိုင်ကော်ခရိုင်,Loikaw,loikaw-MMR002D001,MMR002D001,,MMR002,ကယားပြည်နယ်,Kayah,,,6,93,,19.6342,97.2264,
MMR002D002,2,ခရိုင်,District,ဘောလခဲခရိုင်,Bawlake,bawlake-MMR002D002,MMR002D002,,MMR002,ကယားပြည်နယ်,Kayah,,,4,31,,18.9706,97.4553,
MMR003,1,တိုင်းဒေသကြီး/ပြည်နယ်,State/Region,ကရင်ပြည်နယ်,Kayin,kayin-MMR003,MMR003,,,,,,4,18,463,,17.2072,97.7806,https://openadmindata.org/mm/regions/kayin-MMR003/
MMR003001701,3,မြို့နယ်,Township,ဘားအံ,Hpa-An,hpa-an-MMR003001701,MMR003001701,,MMR003D001,ဘားအံခရိုင်,Hpa-An,,,,101,,16.88076,97.63691,
MMR003002701,3,မြို့နယ်,Township,လှိုင်းဘွဲ့,Hlaingbwe,hlaingbwe-MMR003002701,MMR003002701,,MMR003D001,ဘားအံခရိုင်,Hpa-An,,,,76,,17.12574,97.81871,
MMR003002702,3,မြို့နယ်,Township,ပိုင်ကျုံ,Paingkyon,paingkyon-MMR003002702,MMR003002702,,MMR003D001,ဘားအံခရိုင်,Hpa-An,,,,5,,17.0217,97.98597,
MMR003002703,3,မြို့နယ်,Township,ရှမ်းရွာသစ်,Shan Ywar Thit,shan-ywar-thit-MMR003002703,MMR003002703,,MMR003D001,ဘားအံခရိုင်,Hpa-An,,,,4,,17.42438,97.88778,
MMR003003701,3,မြို့နယ်,Township,ဖာပွန်,Hpapun,hpapun-MMR003003701,MMR003003701,,MMR003D004,ဖာပွန်ခရိုင်,Hpapun,,,,37,,18.06306,97.44321,
MMR003003702,3,မြို့နယ်,Township,ကမမောင်း,Kamarmaung,kamarmaung-MMR003003702,MMR003003702,,MMR003D004,ဖာပွန်ခရိုင်,Hpapun,,,,4,,17.34688,97.6529,
MMR003004701,3,မြို့နယ်,Township,သံတောင်ကြီး,Thandaunggyi,thandaunggyi-MMR003004701,MMR003004701,,MMR003D001,ဘားအံခရိုင်,Hpa-An,,,,64,,19.07339,96.67547,
MMR003004702,3,မြို့နယ်,Township,သံတောင်,Thandaung,thandaung-MMR003004702,MMR003004702,,MMR003D001,ဘားအံခရိုင်,Hpa-An,,,,4,,19.02175,96.58266,
MMR003004703,3,မြို့နယ်,Township,လိပ်သို,Leik Tho,leik-tho-MMR003004703,MMR003004703,,MMR003D001,ဘားအံခရိုင်,Hpa-An,,,,6,,19.22235,96.58097,
MMR003004704,3,မြို့နယ်,Township,ဘောဂလိ,Baw Ga Li,baw-ga-li-MMR003004704,MMR003004704,,MMR003D001,ဘားအံခရိုင်,Hpa-An,,,,4,,18.91451,96.78565,
MMR003005701,3,မြို့နယ်,Township,မြဝတီ,Myawaddy,myawaddy-MMR003005701,MMR003005701,,MMR003D002,မြဝတီခရိုင်,Myawaddy,,,,24,,16.68868,98.51304,
MMR003005702,3,မြို့နယ်,Township,စုကလိ,Su Ka Li,su-ka-li-MMR003005702,MMR003005702,,MMR003D002,မြဝတီခရိုင်,Myawaddy,,,,1,,16.15439,98.59621,
MMR003005703,3,မြို့နယ်,Township,Waw Lay Myaing (Waw Lay),Waw Lay Myaing (Waw Lay),waw-lay-myaing-waw-lay-MMR003005703,MMR003005703,,MMR003D002,မြဝတီခရိုင်,Myawaddy,,,,2,,16.29392,98.71324,
MMR003006701,3,မြို့နယ်,Township,ကော့ကရိတ်,Kawkareik,kawkareik-MMR003006701,MMR003006701,,MMR003D003,ကော့ကရိတ်ခရိုင်,Kawkareik,,,,60,,16.55553,98.23996,
MMR003006702,3,မြို့နယ်,Township,ကျုံဒိုး,Kyondoe,kyondoe-MMR003006702,MMR003006702,,MMR003D003,ကော့ကရိတ်ခရိုင်,Kawkareik,,,,4,,16.59446,98.04353,
MMR003007701,3,မြို့နယ်,Township,ကြာအင်းဆိပ်ကြီး,Kyainseikgyi,kyainseikgyi-MMR003007701,MMR003007701,,MMR003D003,ကော့ကရိတ်ခရိုင်,Kawkareik,,,,57,,16.04079,98.12322,
MMR003007702,3,မြို့နယ်,Township,ဘုရားသုံးဆူ,Hpayarthonesu,hpayarthonesu-MMR003007702,MMR003007702,,MMR003D003,ကော့ကရိတ်ခရိုင်,Kawkareik,,,,4,,15.30444,98.37808,
MMR003007703,3,မြို့နယ်,Township,ကျိုက်ဒုံ,Kyaikdon,kyaikdon-MMR003007703,MMR003007703,,MMR003D003,ကော့ကရိတ်ခရိုင်,Kawkareik,,,,6,,16.00253,98.39268,
MMR003D001,2,ခရိုင်,District,ဘားအံခရိုင်,Hpa-An,hpa-an-MMR003D001,MMR003D001,,MMR003,ကရင်ပြည်နယ်,Kayin,,,8,264,,18.0856,97.2443,
MMR003D002,2,ခရိုင်,District,မြဝတီခရိုင်,Myawaddy,myawaddy-MMR003D002,MMR003D002,,MMR003,ကရင်ပြည်နယ်,Kayin,,,3,27,,16.379,98.6075,
MMR003D003,2,ခရိုင်,District,ကော့ကရိတ်ခရိုင်,Kawkareik,kawkareik-MMR003D003,MMR003D003,,MMR003,ကရင်ပြည်နယ်,Kayin,,,5,131,,16.0996,98.2355,
MMR003D004,2,ခရိုင်,District,ဖာပွန်ခရိုင်,Hpapun,hpapun-MMR003D004,MMR003D004,,MMR003,ကရင်ပြည်နယ်,Kayin,,,2,41,,17.705,97.5481,
MMR004,1,တိုင်းဒေသကြီး/ပြည်နယ်,State/Region,ချင်းပြည်နယ်,Chin,chin-MMR004,MMR004,,,,,,4,20,543,,22.304,93.565,https://openadmindata.org/mm/regions/chin-MMR004/
MMR004001701,3,မြို့နယ်,Township,ဖလမ်း,Falam,falam-MMR004001701,MMR004001701,,MMR004D001,ဖလမ်းခရိုင်,Falam,,,,94,,22.91105,93.68034,
MMR004001702,3,မြို့နယ်,Township,ရိခေါ်ဒါရ်,Rihkhawdar,rihkhawdar-MMR004001702,MMR004001702,,MMR004D001,ဖလမ်းခရိုင်,Falam,,,,2,,23.36097,93.38869,
MMR004001703,3,မြို့နယ်,Township,ဝေဘူလ,Webula,webula-MMR004001703,MMR004001703,,MMR004D001,ဖလမ်းခရိုင်,Falam,,,,4,,23.0168,93.9133,
MMR004002701,3,မြို့နယ်,Township,ဟားခါး,Hakha,hakha-MMR004002701,MMR004002701,,MMR004D003,ဟားခါးခရိုင်,Hakha,,,,38,,22.64011,93.60483,
MMR004002702,3,မြို့နယ်,Township,ဆူရ်ခွား,Surkhua,surkhua-MMR004002702,MMR004002702,,MMR004D003,ဟားခါးခရိုင်,Hakha,,,,2,,22.25553,93.63416,
MMR004003701,3,မြို့နယ်,Township,ထန်တလန်,Thantlang,thantlang-MMR004003701,MMR004003701,,MMR004D003,ဟားခါးခရိုင်,Hakha,,,,40,,22.69843,93.4278,
MMR004003702,3,မြို့နယ်,Township,နှာဟရိန်,Hnaring,hnaring-MMR004003702,MMR004003702,,MMR004D003,ဟားခါးခရိုင်,Hakha,,,,2,,22.1898,93.4361,
MMR004004701,3,မြို့နယ်,Township,တီးတိန်,Tedim,tedim-MMR004004701,MMR004004701,,MMR004D001,ဖလမ်းခရိုင်,Falam,,,,59,,23.37058,93.65619,
MMR004004702,3,မြို့နယ်,Township,ခိုင်ကမ်း,Khaikam,khaikam-MMR004004702,MMR004004702,,MMR004D001,ဖလမ်းခရိုင်,Falam,,,,4,,23.2175,93.9551,
MMR004005701,3,မြို့နယ်,Township,တွန်းဇန်,Tonzang,tonzang-MMR004005701,MMR004005701,,MMR004D001,ဖလမ်းခရိုင်,Falam,,,,33,,23.60306,93.69175,
MMR004005702,3,မြို့နယ်,Township,ကျီခါး,Cikha,cikha-MMR004005702,MMR004005702,,MMR004D001,ဖလမ်းခရိုင်,Falam,,,,2,,23.88976,93.53347,
MMR004006701,3,မြို့နယ်,Township,မင်းတပ်,Mindat,mindat-MMR004006701,MMR004006701,,MMR004D002,မင်းတပ်ခရိုင်,Mindat,,,,50,,21.37176,93.97365,
MMR004006702,3,မြို့နယ်,Township,မကွီအိမ်နူး,M'kuiimnu,mkuiimnu-MMR004006702,MMR004006702,,MMR004D002,မင်းတပ်ခရိုင်,Mindat,,,,4,,21.1727,93.5945,
MMR004007701,3,မြို့နယ်,Township,မတူပီ,Matupi,matupi-MMR004007701,MMR004007701,,MMR004D004,မတူပီခရိုင်,Matupi,,,,67,,21.60475,93.44086,
MMR004007702,3,မြို့နယ်,Township,ရေဇွာ,Rezua,rezua-MMR004007702,MMR004007702,,MMR004D004,မတူပီခရိုင်,Matupi,,,,4,,22.05289,93.40857,
MMR004007703,3,မြို့နယ်,Township,လိုင်လင်းပီ,Lalengpi,lalengpi-MMR004007703,MMR004007703,,MMR004D004,မတူပီခရိုင်,Matupi,,,,2,,21.9592,93.1143,
MMR004008701,3,မြို့နယ်,Township,ကန်ပက်လက်,Kanpetlet,kanpetlet-MMR004008701,MMR004008701,,MMR004D002,မင်းတပ်ခရိုင်,Mindat,,,,28,,21.19337,94.05666,
MMR004008702,3,မြို့နယ်,Township,ကျင်ဒွေး,Kyin Dway,kyin-dway-MMR004008702,MMR004008702,,MMR004D002,မင်းတပ်ခရိုင်,Mindat,,,,4,,20.973,93.8382,
MMR004009701,3,မြို့နယ်,Township,ပလက်ဝ,Paletwa,paletwa-MMR004009701,MMR004009701,,MMR004D004,မတူပီခရိုင်,Matupi,,,,101,,21.30441,92.85461,
MMR004009702,3,မြို့နယ်,Township,ဆမီး,Samee,samee-MMR004009702,MMR004009702,,MMR004D004,မတူပီခရိုင်,Matupi,,,,3,,21.29333,93.09649,
MMR004D001,2,ခရိုင်,District,ဖလမ်းခရိုင်,Falam,falam-MMR004D001,MMR004D001,,MMR004,ချင်းပြည်နယ်,Chin,,,7,198,,23.3385,93.6884,
MMR004D002,2,ခရိုင်,District,မင်းတပ်ခရိုင်,Mindat,mindat-MMR004D002,MMR004D002,,MMR004,ချင်းပြည်နယ်,Chin,,,4,86,,21.1777,93.8658,
MMR004D003,2,ခရိုင်,District,ဟားခါးခရိုင်,Hakha,hakha-MMR004D003,MMR004D003,,MMR004,ချင်းပြည်နယ်,Chin,,,4,82,,22.446,93.5257,
MMR004D004,2,ခရိုင်,District,မတူပီခရိုင်,Matupi,matupi-MMR004D004,MMR004D004,,MMR004,ချင်းပြည်နယ်,Chin,,,5,177,,21.6429,93.183,
MMR005,1,တိုင်းဒေသကြီး/ပြည်နယ်,State/Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Sagaing,sagaing-MMR005,MMR005,,,,,,11,42,1889,,23.1833,95.2912,https://openadmindata.org/mm/regions/sagaing-MMR005/
MMR005001701,3,မြို့နယ်,Township,စစ်ကိုင်း,Sagaing,sagaing-MMR005001701,MMR005001701,,MMR005D001,စစ်ကိုင်းခရိုင်,Sagaing,,,,100,,21.88008,95.96231,
MMR005001702,3,မြို့နယ်,Township,ဆားတောင်,Sar Taung,sar-taung-MMR005001702,MMR005001702,,MMR005D001,စစ်ကိုင်းခရိုင်,Sagaing,,,,11,,22.1639,95.7574,
MMR005002701,3,မြို့နယ်,Township,မြင်းမူ,Myinmu,myinmu-MMR005002701,MMR005002701,,MMR005D001,စစ်ကိုင်းခရိုင်,Sagaing,,,,52,,21.92681,95.57157,
MMR005003701,3,မြို့နယ်,Township,မြောင်,Myaung,myaung-MMR005003701,MMR005003701,,MMR005D001,စစ်ကိုင်းခရိုင်,Sagaing,,,,53,,21.83164,95.42425,
MMR005004701,3,မြို့နယ်,Township,ရွှေဘို,Shwebo,shwebo-MMR005004701,MMR005004701,,MMR005D002,ရွှေဘိုခရိုင်,Shwebo,,,,83,,22.56996,95.69849,
MMR005004702,3,မြို့နယ်,Township,Kyauk Myaung,Kyauk Myaung,kyauk-myaung-MMR005004702,MMR005004702,,MMR005D002,ရွှေဘိုခရိုင်,Shwebo,,,,4,,22.59329,95.94495,
MMR005005701,3,မြို့နယ်,Township,ခင်ဦး,Khin-U,khin-u-MMR005005701,MMR005005701,,MMR005D002,ရွှေဘိုခရိုင်,Shwebo,,,,64,,22.77016,95.62149,
MMR005006701,3,မြို့နယ်,Township,ဝက်လက်,Wetlet,wetlet-MMR005006701,MMR005006701,,MMR005D002,ရွှေဘိုခရိုင်,Shwebo,,,,72,,22.36715,95.78812,
MMR005007701,3,မြို့နယ်,Township,ကန့်ဘလူ,Kanbalu,kanbalu-MMR005007701,MMR005007701,,MMR005D010,ကန့်ဘလူခရိုင်,Kanbalu,,,,90,,23.20305,95.51886,
MMR005007702,3,မြို့နယ်,Township,ဇီးကုန်း,Zee Kone,zee-kone-MMR005007702,MMR005007702,,MMR005D010,ကန့်ဘလူခရိုင်,Kanbalu,,,,6,,22.9311,95.5636,
MMR005008701,3,မြို့နယ်,Township,ကျွန်းလှ,Kyunhla,kyunhla-MMR005008701,MMR005008701,,MMR005D010,ကန့်ဘလူခရိုင်,Kanbalu,,,,38,,23.31964,95.5321,
MMR005009701,3,မြို့နယ်,Township,ရေဦး,Ye-U,ye-u-MMR005009701,MMR005009701,,MMR005D002,ရွှေဘိုခရိုင်,Shwebo,,,,67,,22.76914,95.43049,
MMR005010701,3,မြို့နယ်,Township,ဒီပဲယင်း,Tabayin,tabayin-MMR005010701,MMR005010701,,MMR005D002,ရွှေဘိုခရိုင်,Shwebo,,,,58,,22.68529,95.32121,
MMR005010702,3,မြို့နယ်,Township,စိုင်ပြင်,Saing Pyin,saing-pyin-MMR005010702,MMR005010702,,MMR005D002,ရွှေဘိုခရိုင်,Shwebo,,,,5,,22.5561,95.2366,
MMR005011701,3,မြို့နယ်,Township,တန့်ဆည်,Taze,taze-MMR005011701,MMR005011701,,MMR005D002,ရွှေဘိုခရိုင်,Shwebo,,,,61,,22.94407,95.37361,
MMR005012701,3,မြို့နယ်,Township,မုံရွာ,Monywa,monywa-MMR005012701,MMR005012701,,MMR005D003,မုံရွာခရိုင်,Monywa,,,,85,,22.12168,95.13963,
MMR005013701,3,မြို့နယ်,Township,ဘုတလင်,Budalin,budalin-MMR005013701,MMR005013701,,MMR005D003,မုံရွာခရိုင်,Monywa,,,,57,,22.38918,95.14857,
MMR005014701,3,မြို့နယ်,Township,အရာတော်,Ayadaw,ayadaw-MMR005014701,MMR005014701,,MMR005D003,မုံရွာခရိုင်,Monywa,,,,41,,22.28525,95.45068,
MMR005015701,3,မြို့နယ်,Township,ချောင်းဦး,Chaung-U,chaung-u-MMR005015701,MMR005015701,,MMR005D003,မုံရွာခရိုင်,Monywa,,,,32,,21.95693,95.27363,
MMR005016701,3,မြို့နယ်,Township,ယင်းမာပင်,Yinmarbin,yinmarbin-MMR005016701,MMR005016701,,MMR005D009,ယင်းမာပင်ခရိုင်,Yinmarbin,,,,46,,22.07779,94.90014,
MMR005017701,3,မြို့နယ်,Township,ကနီ,Kani,kani-MMR005017701,MMR005017701,,MMR005D009,ယင်းမာပင်ခရိုင်,Yinmarbin,,,,48,,22.43291,94.84847,
MMR005018701,3,မြို့နယ်,Township,ဆားလင်းကြီး,Salingyi,salingyi-MMR005018701,MMR005018701,,MMR005D009,ယင်းမာပင်ခရိုင်,Yinmarbin,,,,42,,21.97363,95.08269,
MMR005019701,3,မြို့နယ်,Township,ပုလဲ,Pale,pale-MMR005019701,MMR005019701,,MMR005D009,ယင်းမာပင်ခရိုင်,Yinmarbin,,,,61,,21.93415,94.87486,
MMR005020701,3,မြို့နယ်,Township,ကသာ,Katha,katha-MMR005020701,MMR005020701,,MMR005D004,ကသာခရိုင်,Katha,,,,42,,24.18163,96.33167,
MMR005021701,3,မြို့နယ်,Township,အင်းတော်,Indaw,indaw-MMR005021701,MMR005021701,,MMR005D004,ကသာခရိုင်,Katha,,,,44,,24.22252,96.14167,
MMR005021702,3,မြို့နယ်,Township,မော်လူး,Maw Lu,maw-lu-MMR005021702,MMR005021702,,MMR005D004,ကသာခရိုင်,Katha,,,,6,,24.4649,96.1796,
MMR005022701,3,မြို့နယ်,Township,ထီးချိုင့်,Tigyaing,tigyaing-MMR005022701,MMR005022701,,MMR005D004,ကသာခရိုင်,Katha,,,,33,,23.75452,96.14833,
MMR005023701,3,မြို့နယ်,Township,ဗန်းမောက်,Banmauk,banmauk-MMR005023701,MMR005023701,,MMR005D004,ကသာခရိုင်,Katha,,,,50,,24.39986,95.85767,
MMR005024701,3,မြို့နယ်,Township,ကောလင်း,Kawlin,kawlin-MMR005024701,MMR005024701,,MMR005D011,ကောလင်းခရိုင်,Kawlin,,,,54,,23.79026,95.68339,
MMR005025701,3,မြို့နယ်,Township,ဝန်းသို,Wuntho,wuntho-MMR005025701,MMR005025701,,MMR005D011,ကောလင်းခရိုင်,Kawlin,,,,42,,23.89924,95.68193,
